4429,"SATA Air Acores",32
4739,"Skyways Express",32
622,"Aserca Airlines",32
5501,"Yuzhmashavia",32
10765,"SeaPort Airlines",32
567,"Air Caraïbes",32
2835,"Icelandair",31
9828,"Ciel Canadien",31
410,"Aerocondor",30
116,"Air Italy",30
1909,"Corse-Mediterranee",30
3175,"Kuban Airlines",30
3597,"National Airlines",30
3865,"Pacific Wings",30
5494,"Yangtze River Express",30
2417,"AirAsia X",30
2993,"Jazeera Airways",30
603,"Amaszonas",29
4031,"Precision Air",29
2218,"Estonian Air",28
470,"Air Burkina",28
318,"Air Midwest",28
3856,"Pacific Coastal Airline",28
3839,"PLUNA",28
1203,"Airlinair",28
2538,"Georgian Airways",27
1682,"Cayman Airways",27
3302,"Logan Air",27
4521,"Sudan Airways",27
153,"Air Namibia",27
3097,"Kam Air",27
2901,"International Business Air",26
3148,"Kish Air",26
1500,"Metro Batavia",26
3539,"Montenegro Airlines",26
16136,"Caucasus Airlines",26
897,"Air Philippines",26
4021,"Porter Airlines",26
2351,"Finncomm Airlines",26
1539,"Binter Canarias",26
2990,"Japan Transocean Air",25
9531,"Tajik Air",24
1675,"Caspian Airlines",24
2420,"Flybaboo",24
683,"Air Botswana",24
10122,"Salzburg arrows",24
2524,"Gazpromavia",24
16120,"ZABAIKAL AIRLINES",24
1463,"Blue Panorama Airlines",24
139,"Air Caledonie International",24
3386,"Malmö Aviation",24
4808,"Sat Airlines",24
4550,"Southern Winds Airlines",23
4292,"Rwandair Express",23
3637,"Nepal Airlines",23
8463,"United Airways",22
970,"Air Bagan",22
5097,"Travel Service",22
2048,"Domodedovo Airlines",22
496,"AirBridge Cargo",22
2826,"Ibex Airlines",22
16264,"Trans Pas Air",22
5584,"Sky Express",22
2058,"Druk Air",22
1492,"Big Sky Airlines",21
5156,"TAM Mercosur",21
5288,"V Australia Airlines",21
4863,"TAME",20
2226,"Euro Exec Express",20
2765,"Hokkaido International Airlines",20
4965,"Twin Jet",20
2155,"El-Buraq Air Transport",20
5479,"XL Airways France",20
11804,"Halcyonair",20
132,"Air Bosna",20
125,"Ariana Afghan Airlines",20
508,"Aurigny Air Services",20
14849,"Aereonautica militare",20
3545,"Moskovia Airlines",20
286,"Tatarstan Airlines",20
2994,"Jeju Air",20
1876,"Consorcio Aviaxsa",20
3840,"PMTair",20
319,"Air Seychelles",19
10776,"Salmon Air",19
909,"Air Guinee Express",19
4619,"Sun D'Or",19
10650,"Pal airlines",19
5813,"Air Mandalay",19
896,"Air Iceland",19
11823,"Elysian Airlines",18
3822,"Ostfriesische Lufttransport",18
995,"Atlasjet",18
3498,"Midwest Airlines (Egypt)",18
11948,"Viking Hellas",18
462,"Astrakhan Airlines",18
2047,"Dominicana de Aviaci",18
8809,"Island Air (WP)",18
5982,"Air Busan",18
231,"Arkia Israel Airlines",18
16103,"Air Mekong",18
13178,"Strategic Airlines",18
13106,"MDLR Airlines",18
